,id,year,sibid1,south14,momwork,dadwork,momhgc,dadhgc,numsib,religkid,relignow,race,sex,afqtrev,height,health,weight,drnkev,drnkmo,drnk6m,days,perday,gtint,wgsal,famsz,faminc,povst,empst,region,marst,higrad,age,hrswrk,wkswrk,wksue,wksolf,urbrur,numjob,numkid,wdad14,wmom14,hvsib,urate,logwksue,logdays,logwgsal,sqdays,cubdays,age21,wkdrnk,logage,sqrdays,avgincome
6610,7324,89,7323.0,0.0,0,0,11,0,9.0,2.0,0.0,2,2,8,61.0,0.0,145.0,1,1,1,1,6,5,0.0,4,6144.0,1.0,1,2,1.0,11,25,0,0,1,51,1.0,5.0,3,0.0,1.0,1.0,4.5,0.0,0.0,,1.0,1.0,1.0,0.0,3.218876,1.0,15208.462
6611,12123,89,,,1,1,12,4,4.0,9.0,9.0,3,2,10,63.0,0.0,105.0,1,1,0,1,1,3,21000.0,5,51000.0,0.0,1,3,2.0,12,29,1890,52,0,0,1.0,9.0,3,1.0,1.0,0.0,4.5,,0.0,9.952278,1.0,1.0,1.0,0.0,3.3672957,1.0,15208.462
6612,2411,89,2412.0,0.0,1,1,12,16,6.0,0.0,0.0,3,2,44,66.0,0.0,160.0,1,1,1,1,5,3,25000.0,1,25000.0,0.0,1,4,1.0,13,27,2020,52,0,0,1.0,5.0,0,0.0,1.0,1.0,10.5,,0.0,10.126631,1.0,1.0,1.0,0.0,3.295837,1.0,15208.462
6613,7378,94,7379.0,1.0,1,1,8,3,8.0,2.0,2.0,2,2,39,66.0,0.0,130.0,1,1,0,1,1,5,22000.0,3,43000.0,0.0,1,3,2.0,14,35,2080,52,0,0,1.0,1.0,1,1.0,1.0,1.0,4.5,,0.0,9.998797,1.0,1.0,1.0,0.0,3.5553482,1.0,15208.462
6614,2983,94,,0.0,0,1,12,18,3.0,7.0,7.0,3,2,10,62.0,0.0,145.0,1,1,0,1,1,5,300.0,3,45300.0,0.0,3,1,2.0,12,29,382,52,0,0,1.0,5.0,1,1.0,0.0,0.0,10.5,,0.0,5.7037826,1.0,1.0,1.0,0.0,3.3672957,1.0,15208.462
6615,11674,94,,1.0,0,1,12,0,3.0,2.0,0.0,3,1,56,70.0,0.0,205.0,1,1,0,1,1,4,16000.0,1,17000.0,0.0,1,3,1.0,12,34,2080,52,0,0,1.0,7.0,0,1.0,1.0,0.0,7.5,,0.0,9.680344,1.0,1.0,1.0,0.0,3.5263605,1.0,15208.462
6616,3630,94,,,1,1,0,12,3.0,4.0,4.0,3,2,93,67.0,0.0,275.0,1,1,0,1,1,4,16000.0,1,39035.0,0.0,1,2,1.0,15,30,2080,52,0,0,1.0,16.0,0,1.0,1.0,0.0,4.5,,0.0,9.680344,1.0,1.0,1.0,0.0,3.4011974,1.0,15208.462
6617,6307,89,,1.0,0,1,7,12,8.0,2.0,2.0,3,2,3,67.0,0.0,185.0,1,1,0,1,2,5,0.0,6,12216.0,1.0,3,3,2.0,7,32,0,0,0,52,0.0,0.0,4,1.0,1.0,0.0,7.5,,0.0,,1.0,1.0,1.0,0.0,3.465736,1.0,15208.462
6618,12284,94,12282.0,0.0,1,1,8,0,6.0,7.0,7.0,1,2,72,60.0,0.0,128.0,1,1,0,1,1,4,28000.0,3,66200.0,0.0,1,4,2.0,18,33,2252,52,0,0,1.0,17.0,1,0.0,1.0,1.0,7.5,,0.0,10.23996,1.0,1.0,1.0,0.0,3.4965076,1.0,15208.462
6619,7888,89,7889.0,0.0,0,1,12,12,3.0,7.0,7.0,3,2,22,61.0,0.0,195.0,1,1,0,1,1,5,11000.0,1,11650.0,0.0,1,4,1.0,13,30,2024,46,4,2,1.0,14.0,0,1.0,1.0,1.0,7.5,1.3862944,0.0,9.305651,1.0,1.0,1.0,0.0,3.4011974,1.0,15208.462
6620,10212,89,,0.0,0,1,12,12,4.0,4.0,4.0,3,2,27,64.0,0.0,120.0,1,1,0,1,2,2,4500.0,4,27300.0,0.0,1,2,2.0,13,31,1040,52,0,0,1.0,5.0,2,1.0,1.0,0.0,7.5,,0.0,8.411833,1.0,1.0,1.0,0.0,3.4339871,1.0,15208.462
6621,697,94,,0.0,1,1,3,12,5.0,2.0,2.0,3,1,25,67.0,0.0,185.0,1,1,2,1,6,4,35000.0,2,35000.0,0.0,1,2,2.0,12,37,2080,52,0,0,1.0,4.0,0,1.0,1.0,0.0,7.5,,0.0,10.463103,1.0,1.0,1.0,0.0,3.6109178,1.0,15208.462
6622,8690,89,,1.0,1,1,6,9,3.0,0.0,0.0,2,2,12,63.0,0.0,210.0,1,1,1,1,4,1,5000.0,4,7005.0,1.0,1,3,3.0,12,25,1280,32,0,0,1.0,11.0,3,1.0,1.0,0.0,4.5,,0.0,8.517193,1.0,1.0,1.0,0.0,3.218876,1.0,15208.462
6623,3103,89,3104.0,0.0,0,1,0,0,4.0,6.0,6.0,3,1,1,68.0,0.0,160.0,1,1,0,1,2,5,11000.0,3,23000.0,0.0,1,1,2.0,10,26,2272,52,0,0,1.0,9.0,1,1.0,1.0,1.0,4.5,,0.0,9.305651,1.0,1.0,1.0,0.0,3.2580965,1.0,15208.462
6624,12112,94,,0.0,0,1,12,12,2.0,4.0,4.0,3,1,18,72.0,0.0,240.0,1,1,1,1,20,1,24000.0,1,,,1,2,3.0,11,32,2808,52,0,0,1.0,8.0,0,1.0,1.0,0.0,4.5,,0.0,10.085809,1.0,1.0,1.0,0.0,3.465736,1.0,15208.462
6625,10388,89,10387.0,0.0,1,0,10,8,3.0,7.0,7.0,3,2,19,63.0,0.0,135.0,1,1,0,1,3,5,18973.0,2,39973.0,0.0,1,1,1.0,8,25,1820,52,0,0,1.0,3.0,0,1.0,1.0,1.0,4.5,,0.0,9.850772,1.0,1.0,1.0,0.0,3.218876,1.0,15208.462
6626,9961,89,9962.0,,0,1,6,8,4.0,7.0,7.0,1,1,52,70.0,0.0,180.0,1,1,1,1,1,5,30000.0,4,55100.0,0.0,1,4,2.0,13,27,2080,52,0,0,1.0,5.0,2,1.0,1.0,1.0,4.5,,0.0,10.308952,1.0,1.0,1.0,0.0,3.295837,1.0,15208.462
6627,11186,94,,0.0,1,0,6,0,4.0,7.0,7.0,1,1,15,67.0,0.0,185.0,1,1,2,1,6,3,25000.0,6,27000.0,0.0,1,3,2.0,15,36,2600,52,0,0,1.0,5.0,4,0.0,1.0,0.0,16.5,,0.0,10.126631,1.0,1.0,1.0,0.0,3.583519,1.0,15208.462
6628,11802,94,,0.0,0,0,12,0,5.0,2.0,2.0,2,2,16,63.0,0.0,138.0,1,1,0,1,1,5,0.0,4,,,3,2,1.0,12,33,0,0,0,52,1.0,3.0,2,0.0,1.0,0.0,7.5,,0.0,,1.0,1.0,1.0,0.0,3.4965076,1.0,15208.462
6629,7346,89,,0.0,0,1,12,9,8.0,7.0,7.0,3,2,57,64.0,0.0,137.0,1,1,0,1,1,4,15000.0,1,15100.0,0.0,1,2,1.0,12,30,2035,52,0,0,1.0,9.0,0,1.0,0.0,0.0,7.5,,0.0,9.615806,1.0,1.0,1.0,0.0,3.4011974,1.0,15208.462
6630,4700,89,4699.0,0.0,0,1,13,13,2.0,8.0,8.0,3,2,79,62.0,0.0,140.0,1,1,0,1,1,5,23500.0,3,,,3,1,2.0,16,30,2167,52,0,0,1.0,9.0,1,1.0,1.0,1.0,4.5,,0.0,10.064755,1.0,1.0,1.0,0.0,3.4011974,1.0,15208.462
6631,6891,94,6888.0,,0,0,6,8,7.0,7.0,7.0,1,2,4,66.0,0.0,150.0,1,1,0,1,4,5,22000.0,4,47000.0,0.0,1,1,2.0,11,31,2569,52,0,0,1.0,7.0,2,0.0,1.0,1.0,10.5,,0.0,9.998797,1.0,1.0,1.0,0.0,3.4339871,1.0,15208.462
6632,7391,94,7392.0,1.0,1,1,11,11,5.0,2.0,2.0,2,2,14,71.0,0.0,175.0,1,1,1,1,1,5,34000.0,3,34101.0,0.0,1,3,3.0,12,36,2080,52,0,0,1.0,2.0,2,1.0,1.0,1.0,4.5,,0.0,10.434115,1.0,1.0,1.0,0.0,3.583519,1.0,15208.462
6633,12447,89,12448.0,1.0,1,1,10,10,3.0,2.0,2.0,3,2,42,64.0,0.0,105.0,1,1,0,1,2,4,600.0,5,22660.0,0.0,1,3,2.0,12,29,340,12,0,40,0.0,5.0,3,1.0,1.0,1.0,4.5,,0.0,6.3969297,1.0,1.0,1.0,0.0,3.3672957,1.0,15208.462
6634,7800,94,,1.0,1,1,11,9,1.0,2.0,2.0,2,1,27,70.0,0.0,175.0,1,1,1,1,2,5,30000.0,3,47000.0,0.0,2,3,2.0,16,29,2080,52,0,0,1.0,10.0,1,1.0,1.0,0.0,4.5,,0.0,10.308952,1.0,1.0,1.0,0.0,3.3672957,1.0,15208.462
6635,5744,94,5745.0,1.0,0,1,6,8,4.0,7.0,7.0,1,2,16,62.0,0.0,128.0,1,1,0,1,1,5,15000.0,3,15900.0,0.0,1,3,3.0,14,34,2080,52,0,0,1.0,5.0,2,1.0,1.0,1.0,13.5,,0.0,9.615806,1.0,1.0,1.0,0.0,3.5263605,1.0,15208.462
